"Time (s)","Sound pressure level (dB)"
3.974579684E2,-5.396814082E1
3.975643277E2,-5.200622896E1
3.976683952E2,-5.166312306E1
3.977746127E2,-5.299769739E1
3.978783633E2,-5.443282799E1
3.979798065E2,-4.605978507E1
3.980841679E2,-5.283228810E1
3.981877700E2,-5.368996459E1
3.982916045E2,-5.305745611E1
3.983925183E2,-5.257847438E1
3.984976824E2,-5.388199342E1
3.986040540E2,-5.380624838E1
3.987084633E2,-5.349391053E1
3.988147971E2,-5.375415171E1
3.989168814E2,-5.174853409E1
3.990232324E2,-5.162030785E1
3.991266006E2,-5.160863000E1
3.992321026E2,-5.312256901E1
3.993352573E2,-5.286788187E1
3.994413572E2,-5.357668488E1
3.995476800E2,-4.381708256E1
3.996494349E2,-4.852665075E1
3.997553535E2,-5.404483776E1
3.998585138E2,-5.110413735E1
3.999611895E2,-4.917879140E1
4.000669962E2,-4.877413121E1
4.001732364E2,-4.072206461E1
4.002752985E2,-5.251021469E1
4.003789168E2,-5.332899443E1
4.004837564E2,-5.328548525E1
4.005898427E2,-4.597270305E1
4.006918298E2,-4.271219367E1
4.007976325E2,-4.300763775E1
4.009037522E2,-4.242422000E1
4.010086333E2,-4.144814353E1
4.011100365E2,-3.751231767E1
4.012138646E2,-3.943643126E1
4.013189631E2,-3.753842825E1
4.014239189E2,-3.888727662E1
4.015253511E2,-4.578013513E1
4.016316438E2,-5.199205792E1
4.017376713E2,-5.347597895E1
4.018420034E2,-5.260472688E1
4.019427773E2,-5.528394759E1
4.020470913E2,-5.490268845E1
4.021530934E2,-5.429831909E1
4.022587282E2,-5.015027440E1
4.023614972E2,-5.022575106E1
4.024678701E2,-5.509569482E1
4.025719493E2,-5.474775931E1
4.026753350E2,-5.288336462E1
4.027772557E2,-5.393612703E1
4.028836382E2,-5.422380887E1
4.029859328E2,-5.461122528E1
4.030921275E2,-5.395187752E1
4.031976927E2,-5.235469407E1
4.033037228E2,-5.064436149E1
4.034086999E2,-4.728464865E1
4.035109024E2,-4.518746374E1
4.036171910E2,-4.962581700E1
4.037192127E2,-4.605079487E1
4.038249740E2,-4.513452899E1
4.039262811E2,-4.716014802E1
4.040311030E2,-4.796396465E1
4.041327695E2,-4.723312214E1
4.042385983E2,-4.466453069E1
4.043422040E2,-4.384293645E1
4.044480252E2,-4.640376815E1
4.045541576E2,-4.667154224E1
4.046588765E2,-4.618319308E1
4.047604957E2,-4.685178772E1
4.048665422E2,-4.506627174E1
4.049727921E2,-4.172756979E1
4.050755027E2,-4.492780214E1
4.051803694E2,-4.528864320E1
4.052860222E2,-5.066165363E1
4.053921833E2,-5.054272553E1
4.054977677E2,-4.251692594E1
4.056010237E2,-5.005238314E1
4.057069845E2,-3.912004958E1
4.058090402E2,-4.761958459E1
4.059142671E2,-4.594087556E1
4.060185069E2,-4.186363013E1
4.061240770E2,-5.027608238E1
4.062256795E2,-4.626912116E1
4.063290239E2,-5.094146658E1
4.064353416E2,-4.228477531E1
4.065410354E2,-4.652423704E1
4.066423172E2,-4.979393869E1
4.067452715E2,-5.075722006E1
4.068473647E2,-5.216867118E1
4.069532424E2,-5.347341289E1
4.070591640E2,-5.315444033E1
4.071641292E2,-5.391481931E1
4.072669335E2,-5.232879043E1
4.073701666E2,-5.281256323E1
4.074758423E2,-4.211888585E1
4.075822972E2,-4.551701616E1
4.076886140E2,-5.124687709E1
4.077925032E2,-5.165497152E1
4.078976591E2,-5.376213799E1
4.079993901E2,-5.436178066E1
4.081034504E2,-5.086562826E1
4.082090600E2,-5.360665630E1
4.083099632E2,-5.235447005E1
4.084164655E2,-4.485664510E1
4.085180530E2,-4.039521923E1
4.086238662E2,-4.070975432E1
4.087259017E2,-3.806246344E1
4.088322950E2,-2.978489329E1
4.089372556E2,-3.391368825E1
4.090426341E2,-3.704665174E1
4.091489743E2,-4.594329378E1
4.092551393E2,-4.366494275E1
4.093592940E2,-4.204404151E1
4.094657077E2,-3.387687230E1
4.095708664E2,-3.773622426E1
4.096759706E2,-3.325584022E1
4.097797844E2,-3.951766752E1
4.098820590E2,-3.744505501E1
4.099872378E2,-3.093379565E1
4.100926607E2,-3.543182133E1
4.101971345E2,-3.490891268E1
4.103029271E2,-3.457585608E1
4.104088887E2,-4.118698567E1
4.105152126E2,-3.606877906E1
4.106210343E2,-3.681779330E1
4.107260234E2,-4.256896265E1
4.108275220E2,-4.774290652E1
4.109332394E2,-4.093047889E1
4.110388622E2,-4.400019010E1
4.111426317E2,-4.554307394E1
4.112468892E2,-4.853311053E1
4.113493577E2,-5.374250040E1
4.114554023E2,-4.031088022E1
4.115594205E2,-4.167056701E1
4.116657744E2,-4.778939370E1
4.117717246E2,-4.456093567E1
4.118761310E2,-4.796193837E1
4.119782993E2,-5.203627473E1
4.120839999E2,-4.622941648E1
4.121899885E2,-4.940144419E1
4.122928879E2,-4.552197975E1
4.123975270E2,-4.312525685E1
4.125033612E2,-3.271532746E1
4.126095353E2,-3.837777866E1
4.127137111E2,-3.915509403E1
4.128196855E2,-4.617410849E1
4.129257204E2,-3.507869840E1
4.130320551E2,-4.004977861E1
4.131371535E2,-4.401084666E1
4.132428902E2,-4.261266960E1
4.133492262E2,-4.161386693E1
