"Time (s)","Sound pressure level (dB)"
1.172733791E2,-3.624872039E1
1.173798527E2,-4.067445359E1
1.174815573E2,-4.439014713E1
1.175845468E2,-4.435992881E1
1.176900046E2,-3.828032404E1
1.177963617E2,-4.529376922E1
1.179026159E2,-4.508422548E1
1.180067152E2,-4.738329451E1
1.181129700E2,-5.416252666E1
1.182149548E2,-5.441151851E1
1.183212760E2,-5.439989224E1
1.184234540E2,-4.446390928E1
1.185279660E2,-4.014140861E1
1.186312495E2,-4.173304586E1
1.187364165E2,-4.165173637E1
1.188400976E2,-3.917424071E1
1.189464126E2,-4.564470077E1
1.190482612E2,-3.984592765E1
1.191545275E2,-4.221140826E1
1.192568456E2,-4.138956043E1
1.193632980E2,-4.291796644E1
1.194649168E2,-4.627930050E1
1.195711955E2,-5.070450062E1
1.196742722E2,-5.577368813E1
1.197807400E2,-5.294906881E1
1.198826366E2,-5.383594777E1
1.199889887E2,-5.393964037E1
1.200942327E2,-5.519638230E1
1.201982951E2,-5.390001379E1
1.203047893E2,-5.335153351E1
1.204068950E2,-5.570640427E1
1.205129624E2,-5.359975067E1
1.206172851E2,-4.102455431E1
1.207231524E2,-4.273496334E1
1.208295178E2,-4.901661207E1
1.209315468E2,-4.224333319E1
1.210371518E2,-4.433199907E1
1.211402524E2,-4.235461739E1
1.212466072E2,-4.556889283E1
1.213482152E2,-4.675150313E1
1.214545110E2,-4.769580336E1
1.215569693E2,-4.883379886E1
1.216632401E2,-4.844964801E1
1.217648795E2,-4.491939228E1
1.218710910E2,-4.619844286E1
1.219736592E2,-4.678722779E1
1.220799187E2,-4.277914100E1
1.221815842E2,-4.254589316E1
1.222879550E2,-4.673884849E1
1.223903575E2,-4.856270417E1
1.224966933E2,-4.251851762E1
1.225982807E2,-4.655773086E1
1.227045462E2,-4.892451042E1
1.228070470E2,-5.415776556E1
1.229129601E2,-5.368966444E1
1.230150386E2,-5.507372520E1
1.231215207E2,-5.446272910E1
1.232238882E2,-5.448458999E1
1.233303614E2,-4.807168905E1
1.234339619E2,-4.306294071E1
1.235395333E2,-3.940386179E1
1.236439226E2,-3.763610550E1
1.237482130E2,-3.761084533E1
1.238539371E2,-3.614569842E1
1.239571654E2,-3.610604422E1
1.240635211E2,-3.417036787E1
1.241699149E2,-3.427604565E1
1.242738923E2,-3.546301269E1
1.243775706E2,-3.673546599E1
1.244815929E2,-4.316746383E1
1.245878982E2,-4.399376467E1
1.246904484E2,-4.211467460E1
1.247913222E2,-4.003575806E1
1.248976948E2,-4.009190724E1
1.249995035E2,-4.148324164E1
1.251057167E2,-4.320878295E1
1.252074166E2,-4.383377213E1
1.253129077E2,-4.306556824E1
1.254149278E2,-4.241266299E1
1.255193486E2,-4.252003227E1
1.256240169E2,-4.439900338E1
1.257302497E2,-4.479853839E1
1.258365283E2,-4.467761979E1
1.259406212E2,-4.407855705E1
1.260469149E2,-4.709212812E1
1.261533611E2,-4.857428104E1
1.262574228E2,-4.933101976E1
1.263636941E2,-5.460703687E1
1.264700070E2,-5.562870947E1
1.265740173E2,-5.513577593E1
1.266802900E2,-5.473016792E1
1.267865535E2,-5.592507603E1
1.268907207E2,-5.479562578E1
1.269970243E2,-5.325591349E1
1.271035035E2,-5.525960150E1
1.272074967E2,-5.439693806E1
1.273129641E2,-3.576787837E1
1.274149311E2,-3.819828519E1
1.275173507E2,-4.586905300E1
1.276235583E2,-4.161667681E1
1.277248795E2,-4.269119304E1
1.278280135E2,-3.909256507E1
1.279315304E2,-3.492707142E1
1.280370204E2,-3.835546110E1
1.281408040E2,-3.931371991E1
1.282471132E2,-3.698567187E1
1.283512058E2,-4.085110832E1
1.284570255E2,-3.980362833E1
1.285603685E2,-3.990702766E1
1.286648640E2,-4.094526797E1
1.287708989E2,-4.329499836E1
1.288742110E2,-5.490070908E1
1.289806003E2,-5.472886230E1
1.290869821E2,-5.578856671E1
1.291910162E2,-5.635480774E1
